name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories
"""JC's Steakhouse""","""25 E Ray Rd""",Gilbert,AZ,85296,33.3207277,-111.7893142,3.5,157,Event Planning & Services;Bars;Nightlife;Venues & Event Spaces;Steakhouses;Seafood;Restaurants
"""Pastries N Chaat""","""15050 N Northsight Blvd, Ste 101""",Scottsdale,AZ,85260,33.6227399,-111.8970917,4,72,Pizza;Bakeries;Indian;Restaurants;Food
"""Nekter Juice Bar""","""15425 N Scottsdale Rd, Ste 180""",Scottsdale,AZ,85254,33.62663543,-111.9247642,4,132,Ice Cream & Frozen Yogurt;Restaurants;Juice Bars & Smoothies;Food;Gluten-Free;Acai Bowls
"""Jackie's Cafe""","""730 N Cooper Rd""",Gilbert,AZ,85233,33.36289301,-111.8075583,4.5,34,Restaurants;Cafes;American (Traditional)
"""Max Sports Grille""","""7134 E Thomas Rd""",Scottsdale,AZ,85250,33.48060163,-111.9280469,3,72,Sports Bars;American (Traditional);Restaurants;Bars;Steakhouses;Nightlife
"""Fuzzy's Taco Shop""","""4231 E Thomas Rd""",Phoenix,AZ,85018,33.47987,-111.989954,2.5,17,Restaurants;Mexican
"""Delhi Palace Cuisine of India""","""933 E University Dr, Ste 103""",Tempe,AZ,85281,33.4213508,-111.9247139,3.5,199,Restaurants;Pakistani;Indian;Buffets
"""Sonic""","""647 E McKellips Rd""",Mesa,AZ,85203,33.4514757,-111.8167229,2,16,Restaurants
"""Tqla""","""1840 S Val Vista Dr""",Mesa,AZ,85204,33.381723,-111.754566,3.5,231,Restaurants;American (New);Southern;Nightlife;Bars;Mexican
"""Jack in The Box""","""9906 W Thunderbird Blvd""",Sun City,AZ,85351,33.6096723,-112.2682934,3,7,Fast Food;Restaurants
"""Jack in the Box""","""12223 N 32nd St""",Phoenix,AZ,85032,33.5980597,-112.0127981,2,9,Restaurants;Fast Food
"""Gallagher's Sports Grill""","""7575 N 16th St""",Phoenix,AZ,85020,33.546583,-112.0469306,3,105,Sports Bars;Sandwiches;American (Traditional);Burgers;Bars;Restaurants;Nightlife
"""Isa's Pizza""","""777 E Thunderbird Rd""",Phoenix,AZ,85022,33.607105,-112.063427,4,102,Salad;Pizza;Italian;Restaurants
"""Buster's On the Lake""","""8320 N Hayden Rd, Ste 100""",Scottsdale,AZ,85258,33.5572613,-111.8993894,3.5,36,Restaurants;American (Traditional);Seafood
"""Katz Delicatessen & Sandwich Shop""","""5144 N Central Ave""",Phoenix,AZ,85012,33.5126276,-112.0740912,3,5,Delis;Restaurants
"""Maloney's On Campus""","""955 E University Dr""",Tempe,AZ,85281,33.4216767,-111.9243672,3,7,Nightlife;Bars;Restaurants;American (Traditional)
"""Starbucks""","""650 E Osborn Rd""",Phoenix,AZ,85013,33.4876177,-112.0828244,2,5,Restaurants;Coffee & Tea;Cafes;Food
"""TEXAZ Grill""","""6003 N 16th St""",Phoenix,AZ,85016,33.523984,-112.04698,4,507,Restaurants;Steakhouses
"""Old Chicago""","""6821 E Superstition Springs""",Mesa,AZ,85209,33.3832251,-111.6837464,3,40,Sports Bars;Pizza;Nightlife;Bars;Salad;Restaurants;American (Traditional)
"""Filiberto's""","""9036 W Union Hills Rd""",Peoria,AZ,85382,33.6531807,-112.2537667,2,12,Restaurants;Mexican
"""Devil's Advocate""","""955 E University Dr""",Tempe,AZ,85281,33.421676,-111.9243266,3.5,179,Beer Bar;Nightlife;Pubs;Restaurants;Burgers;Gastropubs;Sandwiches;American (New);Sports Bars;Bars
"""Asi Es La Vida""","""3602 N 24th St""",Phoenix,AZ,85016,33.4895374,-112.0304508,4,216,Mexican;Restaurants
"""AZ Wine Co""","""100 Easy St, Ste 3""",Carefree,AZ,85377,33.8241129,-111.922769,4.5,9,Bars;Beer;Wine & Spirits;Wine Bars;Nightlife;Restaurants;American (New);Food
"""The Wing Counter""","""5350 W Bell Rd""",Glendale,AZ,85308,33.639548,-112.1742608,4,203,Fast Food;Chicken Wings;American (Traditional);Restaurants
"""Red Brick Pizza""","""1041 N Dobson Rd, Ste 102""",Mesa,AZ,85201,33.43172785,-111.8432236,3,6,Restaurants;Pizza;Fast Food
"""Stand Up Scottsdale Comedy Club""","""5101 N Scottsdale Rd""",Scottsdale,AZ,85251,33.5108302,-111.9256584,4.5,190,Arts & Entertainment;Nightlife;Mexican;Restaurants;Performing Arts;Cocktail Bars;Bars;Comedy Clubs
"""Birria Estilo Michoacan""","""906 N 15th Ave""",Phoenix,AZ,85007,33.4579594,-112.0916043,4,5,Mexican;Restaurants
"""Gaslight Cafe""","""5747 W Glendale Ave""",Glendale,AZ,85301,33.538275,-112.183325,4,9,Restaurants;Cafes;Food;Nightlife;Cocktail Bars;Bars;Salad;Tea Rooms;Sandwiches
"""Dairy Queen""","""13365 W McDowell Rd""",Goodyear,AZ,85395,33.4639352,-112.3468291,3,32,Fast Food;Ice Cream & Frozen Yogurt;Food;Restaurants;Burgers;Desserts
"""Express Donuts""","""13824 W Mcdowell Rd, Ste 103""",Goodyear,AZ,85395,33.4651361,-112.356396,4.5,167,Breakfast & Brunch;Donuts;Restaurants;Bagels;Coffee & Tea;Food
"""TailGaters Sports Grill & IL Primo Pizza & Wings""","""5110 N Dysart Rd, Ste 124""",Litchfield Park,AZ,85340,33.5094749,-112.3425333,3.5,106,Pizza;Chicken Wings;Food;Beer;Wine & Spirits;Restaurants
"""Tronco Sonoran Grill""","""10155 E Via Linda, Unit 135""",Scottsdale,AZ,85258,33.57439194,-111.8622537,3,45,Restaurants;Mexican
"""Nekter Juice Bar""","""9301 E Shea Blvd""",Scottsdale,AZ,85260,33.58047444,-111.8810619,4,51,Gluten-Free;Food;Juice Bars & Smoothies;Ice Cream & Frozen Yogurt;Acai Bowls;Restaurants
"""El Encanto""","""6248 E Cave Creek Rd""",Cave Creek,AZ,85331,33.8322157,-111.9455352,3.5,547,Mexican;Restaurants
"""Bread Basket""","""2820 E University Dr, Ste 110""",Mesa,AZ,85213,33.42352002,-111.7699936,4.5,33,Sandwiches;Soup;Food;Restaurants;Bakeries
"""Fountain Hills Express Convenience Store & Deli""","""11829 N Saguaro Blvd""",Fountain Hills,AZ,85268,33.594677,-111.712039,4.5,21,Delis;Restaurants;Convenience Stores;Food;Grocery;Beer;Wine & Spirits
"""Corridors Cafe""","""2155 W Pinnacle Peak Rd, Unit 1""",Phoenix,AZ,85027,33.699034,-112.1068993,4.5,33,Restaurants;Breakfast & Brunch
"""Nagoya Sushi""","""7557 W Greenway Rd, Ste 104""",Peoria,AZ,85381,33.62451132,-112.2207567,4.5,43,Restaurants;Sushi Bars
"""The District""","""7333 E Indian Plz""",Scottsdale,AZ,85251,33.501281,-111.9229426,4,157,Dance Clubs;American (New);Burgers;Nightlife;Sports Bars;Bars;Restaurants
"""Burger King""","""16364 W Yuma Rd""",Goodyear,AZ,85338,33.43621044,-112.410762,2,10,Restaurants;Fast Food;Burgers
"""Five Guys""","""13714 West Bell Rd, Ste 2""",Surprise,AZ,85374,33.63899658,-112.3533008,3.5,83,Burgers;American (New);Restaurants;Fast Food
"""Samurai Asian Bistro""","""330 N Dysart Rd, Ste 101""",Goodyear,AZ,85338,33.45014572,-112.3426132,4,80,Japanese;Thai;Sushi Bars;Asian Fusion;Restaurants
"""Trente-Cinq""","""2333 N 7th St""",Phoenix,AZ,85006,33.4742872,-112.0648471,3,12,Restaurants;French;Belgian
"""Michaels at Park Central""","""3110 N Central Ave, Ste 140""",Phoenix,AZ,85012,33.4834128,-112.0753722,3,13,American (Traditional);Restaurants;Soul Food;Nightlife;Event Planning & Services;Dance Clubs;Venues & Event Spaces
"""Cranberry Hills Eatery & Catering""","""3003 N Central Ave, Ste 118""",Phoenix,AZ,85012,33.4825295,-112.0732229,3.5,35,Breakfast & Brunch;Cafes;Restaurants;Food;Caterers;American (New);Event Planning & Services;Coffee & Tea
"""Barney's Boathouse""","""216 E University Dr""",Tempe,AZ,85281,33.422317,-111.936052,2.5,14,Restaurants;Bars;American (Traditional);Dive Bars;Nightlife
"""Padre's Modern Mexican Cuisine""","""1044 E Camelback Rd""",Phoenix,AZ,85014,33.5093453,-112.0588374,4,137,Bars;Latin American;Restaurants;Nightlife;Mexican
"""Subway""","""2316 W Bethany Home Rd, Ste 113""",Phoenix,AZ,85015,33.5247189,-112.1095327,4,7,Sandwiches;Fast Food;Restaurants
"""Rienda's Mexican Food""","""546 N Gilbert Rd""",Gilbert,AZ,85234,33.3602435,-111.7901059,4,10,Mexican;Restaurants
"""Pollo Campero""","""7745 W Thomas Rd""",Phoenix,AZ,85033,33.4797,-112.225412,4,8,Fast Food;Latin American;Restaurants
"""Sucker Punch Sally's Diner""","""4 E University Dr""",Tempe,AZ,85281,33.4219963,-111.9398864,3,46,Food;Beer;Wine & Spirits;American (Traditional);Restaurants
"""Comedor Anita""","""8400 S Avenida Del Yaqui""",Guadalupe,AZ,85283,33.37062524,-111.963353,5,5,Mexican;Restaurants
"""The Lunch Bag""","""8989 E Via Linda""",Scottsdale,AZ,85258,33.56836951,-111.8881559,4.5,81,Restaurants;Sandwiches
"""Great Steak and Potato Co.""","""3400 E Sky Harbor Blvd""",Phoenix,AZ,85034,33.4354656,-112.0071714,2,9,Restaurants;Fast Food;Sandwiches
"""Chengdu Delight Chinese Cuisine""","""2992 N Alma School Rd""",Chandler,AZ,85224,33.3484246,-111.859722,4.5,90,Restaurants;Chinese
"""Advanced Muscle and Performance Therapy""","""33 N Lindsay Rd, Ste 109""",Gilbert,AZ,85234,33.350645,-111.7725819,5,7,American (Traditional);Restaurants;Massage Therapy;Health & Medical
"""Firehouse Subs""","""4025 E Chandler Blvd, Ste 68""",Phoenix,AZ,85048,33.304667,-111.9945819,4,33,Fast Food;Delis;Restaurants;Sandwiches
"""Bamboo Club""","""8624 E Shea Blvd""",Scottsdale,AZ,85260,33.58313639,-111.8941963,3,148,Restaurants;Chinese;Asian Fusion
"""Pok-U""","""1024 E Buckeye Rd""",Phoenix,AZ,85034,33.4374555,-112.0593994,3.5,12,Hawaiian;Poke;Food;Restaurants;Sushi Bars;Seafood
"""Louisiana Fried Chicken""","""1717 W Southern Ave, Ste 100""",Phoenix,AZ,85041,33.3917775,-112.0959487,3.5,11,Mexican;Donuts;Food;Seafood;Juice Bars & Smoothies;Tacos;Chicken Shop;Chicken Wings;Restaurants
"""Rito's Mexican Food- Phoenix""","""907 N 14th St""",Phoenix,AZ,85006,33.4579361,-112.0520629,4.5,292,Mexican;Restaurants
"""Costa Vida Fresh Mexican Grill""","""1744 S Val Vista Dr, Ste 106""",Mesa,AZ,85204,33.38366698,-111.7568119,3.5,161,Tex-Mex;Restaurants;Mexican;Latin American
"""Planet Sub Gilbert""","""2475 S Val Vista Rd, Ste 101""",Gilbert,AZ,85295,33.3057415,-111.75549,3.5,12,Fast Food;Sandwiches;Restaurants
"""Bonefish Grill""","""12811 N. Tatum Blvd""",Phoenix,AZ,85032,33.60239484,-111.9780978,3,146,Seafood;Restaurants
"""Stella 59""","""5940 W Union Hills Dr, Bldg E100""",Glendale,AZ,85308,33.654846,-112.188569,3.5,31,Restaurants;Italian;Food
"""Burger King""","""14719 W Cactus Rd""",Surprise,AZ,85379,33.59466649,-112.3769525,3,5,Burgers;Fast Food;Breakfast & Brunch;Restaurants
"""Five Guys Burgers and Fries""","""2131 E Camelback Rd, Ste 111""",Phoenix,AZ,85016,33.508677,-112.035668,4,14,Fast Food;Burgers;American (New);Restaurants
"""Pacific Moon Chinese Cuisine""","""16740 E Palisades Blvd, Ste 107""",Fountain Hills,AZ,85268,33.60898121,-111.7187957,3.5,33,Chinese;Restaurants
"""Mucho Gusto Taqueria Mexican Bistro""","""603 W University Dr""",Tempe,AZ,85281,33.4215309,-111.9475757,3.5,148,Restaurants;Mexican
"""Fatburger""","""Desert Ridge Marketplace, 21001 N Tatum Blvd, Bldg 34-1140""",Phoenix,AZ,85050,33.6770727,-111.9740351,3.5,12,Burgers;Fast Food;Restaurants
"""Jack in the Box""","""13738 W Bell Rd""",Surprise,AZ,85374,33.6391219,-112.3548124,1.5,12,Fast Food;Restaurants
"""Fresh & Easy""","""4588 South Higley RdÃ""",Gilbert,AZ,85297,33.31580994,-111.7124533,3,8,Mexican;Italian;Flowers & Gifts;Shopping;Florists;American (New);Grocery;Food;Restaurants;Convenience Stores
"""Domino's Pizza""","""5833 N 35th Ave""",Phoenix,AZ,85017,33.5232172,-112.1339665,2.5,15,Italian;Sandwiches;Chicken Wings;Restaurants;Pizza
"""Flower Child""","""10460 N 90th St""",Scottsdale,AZ,85258,33.5810886,-111.8870314,4,350,Vegetarian;Restaurants;Gluten-Free;American (New);Salad
"""Saigon Nites Vietnamese Cuisine""","""15111 N Hayden Rd, Ste 110""",Scottsdale,AZ,85260,33.6219044,-111.9045434,4,225,Vietnamese;Restaurants
"""Bei""","""2200 N Scottsdale Rd""",Scottsdale,AZ,85257,33.472368,-111.92659,4,495,Cocktail Bars;Sushi Bars;Bars;Asian Fusion;Restaurants;Nightlife
"""The Nest""","""5134 N 95th Ave""",Glendale,AZ,85305,33.51137767,-112.2642728,3.5,51,Bars;Sports Bars;Chicken Wings;American (Traditional);Restaurants;Nightlife
"""Gluten Free Creations""","""7607 E McDowell Rd""",Scottsdale,AZ,85257,33.46529875,-111.9172834,4.5,102,Gluten-Free;Cafes;Specialty Food;Home Services;Bakeries;Food;Grocery;Donuts;Restaurants;Delis;Security Systems
"""Valley Pizza Downtown""","""1348 W Roosevelt St""",Phoenix,AZ,85007,33.4586677,-112.090481,3.5,28,Restaurants;Pizza
"""McDonald's""","""2020 N 75th Ave""",Phoenix,AZ,85035,33.471068,-112.222977,2.5,3,Restaurants;Fast Food;Burgers
"""Haggen Food & Pharmacy""","""34442 N Scottsdale Rd""",Scottsdale,AZ,85262,33.7983103,-111.92963,1,3,Bakeries;Food;Grocery;Delis;Restaurants
"""The Teapot""","""818 N 5th Ave""",Phoenix,AZ,85003,33.45729395,-112.0805154,4.5,72,Coffee & Tea;Playgrounds;Breakfast & Brunch;Venues & Event Spaces;Cafes;Active Life;Food;Restaurants;Event Planning & Services
"""Salad and Go""","""3299 E Williams Field Rd""",Gilbert,AZ,85295,33.30674857,-111.7207382,4.5,101,Salad;Vegetarian;Breakfast & Brunch;Fast Food;Restaurants
"""Burger King""","""13838 N Scottsdale Rd""",Scottsdale,AZ,85254,33.6128481,-111.9263002,2.5,12,Burgers;Fast Food;Restaurants
"""Hot Duck""","""1430 W Warner Rd, Ste 126""",Gilbert,AZ,85233,33.3362723,-111.8219235,3.5,15,Soup;Restaurants;Chinese;Noodles
"""Cleopatra""","""5686 W Bell Rd""",Glendale,AZ,85308,33.640122,-112.181582,3,54,Event Planning & Services;Dance Clubs;Restaurants;Venues & Event Spaces;Nightlife;Middle Eastern;Mediterranean
"""BoSa Donuts""","""4910 E Ray Rd""",Phoenix,AZ,85044,33.32034587,-111.9773173,4.5,68,Food;Restaurants;Donuts;Sandwiches;Coffee & Tea
"""Machete Azteca""","""3549 W Thunderbird Rd""",Phoenix,AZ,85029,33.61038718,-112.1353181,3.5,12,Restaurants;Mexican
"""Beast of Bourbon Bar & Grill""","""2235 S Power Rd""",Mesa,AZ,85209,33.3749755,-111.6871525,3.5,9,Bars;Sports Bars;Nightlife;Burgers;Restaurants;Breakfast & Brunch;American (New)
"""Sarku Japan""","""1445 W Southern Ave, Ste 2158""",Mesa,AZ,85202,33.3894767,-111.8604545,4,12,Restaurants;Japanese
"""Johnny Rockets""","""9500 East VÃ­a De Ventura""",Scottsdale,AZ,85256,33.5545531,-111.8760438,1.5,8,Burgers;Restaurants
"""Schlotzsky's""","""10070 N 90th St""",Scottsdale,AZ,85258,33.5776081,-111.8860289,3,40,Delis;Sandwiches;Fast Food;Restaurants
"""Mr Submarine""","""2347 E Osborn Rd""",Phoenix,AZ,85016,33.4872448,-112.0305529,4,24,Sandwiches;Restaurants
"""Le Ragazze""","""1334 E Chandler Ave, Ste 11""",Phoenix,AZ,85048,33.3067372,-112.0537905,4,23,Restaurants;Italian
"""China Farm Chinese Buffet""","""3135 S 48th St""",Tempe,AZ,85282,33.394695,-111.9778065,2.5,9,Restaurants;Chinese;Buffets
"""Growler USA""","""5415 E High St, Ste 101""",Phoenix,AZ,85054,33.675455,-111.9649366,4,93,Gastropubs;American (Traditional);Restaurants;Chicken Wings;Pubs;Bars;Nightlife;Beer Bar
"""Waffle Crush""","""""",Gilbert,AZ,85295,33.3073768,-111.7435799,4,64,Food;Waffles;Desserts;Food Trucks;Restaurants;Ice Cream & Frozen Yogurt
"""Fat Willy's""","""1762 S Greenfield Rd, Ste 111""",Mesa,AZ,85206,33.3837447,-111.7431843,2.5,83,Sports Bars;Bars;Nightlife;Chicken Wings;Restaurants;American (Traditional)
"""Yoshinoya""","""330 N Dysart Rd""",Goodyear,AZ,85338,33.450327,-112.342703,3,15,Restaurants;Japanese
"""Pete's Fish & Chips""","""3715 E Van Buren St""",Phoenix,AZ,85008,33.4509955,-112.0013904,3.5,3,Restaurants;Seafood;Fish & Chips
"""Roni's Pizzeria""","""6501 E Greenway Pkwy""",Scottsdale,AZ,85254,33.6251792,-111.9404813,1,5,Pizza;Restaurants
"""U S Pizza""","""13065 W Grand Ave, Ste 4""",Surprise,AZ,85374,33.6312399,-112.3416805,3.5,21,Restaurants;Pizza
"""My Big Fat Greek Express""","""440 W Warner Rd., Ste 104""",Tempe,AZ,85284,33.3350535,-111.9445749,4,12,Greek;Restaurants
"""Ah-So Sushi & Steak""","""16610 N 75th Ave, Ste 104""",Peoria,AZ,85382,33.6347365,-112.2208243,3,147,Restaurants;Steakhouses;Japanese;Sushi Bars
"""Maryln's Fish & Chips""","""5436 S Central Ave""",Phoenix,AZ,85041,33.396343,-112.073687,4.5,138,Seafood;Sandwiches;Restaurants;Chicken Wings;Burgers;Fish & Chips
"""Bio Bistro""","""727 E Tyler St""",Tempe,AZ,85281,33.42032012,-111.9286251,2.5,9,Coffee & Tea;Cafes;Restaurants;Food
"""Pars Persian Cuisine""","""11144 N Frank Lloyd Wright Blvd, Ste E9""",Scottsdale,AZ,85259,33.58712209,-111.8363223,4,159,Restaurants;Persian/Iranian;Middle Eastern;Mediterranean
"""Al Rafedin""","""3650 W Camelback Rd""",Phoenix,AZ,85019,33.5098759,-112.1382347,3,4,Restaurants;Middle Eastern
"""Veggie Village""","""1255 E Northern Ave""",Phoenix,AZ,85020,33.5527294,-112.0547215,4.5,171,Asian Fusion;Vegan;Restaurants;Vegetarian
"""Naked Pizza""","""1380 N Litchfield Rd""",Goodyear,AZ,85395,33.4604214,-112.358244,3.5,20,Pizza;Restaurants
"""Tasty House Chinese Restaurant""","""1512 W Bell Rd, Ste 7""",Phoenix,AZ,85023,33.6410158,-112.0924524,2.5,62,Restaurants;Chinese
"""SN Pacific Rim Asian Kitchen""","""1236 E Baseline Rd""",Mesa,AZ,85204,33.3794154,-111.8053095,3.5,109,Asian Fusion;Chinese;Dim Sum;Restaurants;Fast Food
"""Paradise Bakery""","""1075 W Queen Creek Rd""",Chandler,AZ,85248,33.2608752,-111.860136,3.5,33,Restaurants;Sandwiches
"""Peixoto Coffee""","""11 W Boston Suite""",Chandler,AZ,85225,33.30190033,-111.84169,4.5,423,Food;Restaurants;Brazilian;Coffee & Tea;Coffee Roasteries
"""Buffalo Wild Wings""","""970 S Gilbert Rd""",Gilbert,AZ,85296,33.331731,-111.7912447,3,191,Chicken Wings;Restaurants;Bars;Sports Bars;Burgers;American (Traditional);Nightlife
"""Babaloos Cuban Cafe""","""1241 E Chandler Blvd""",Phoenix,AZ,85048,33.304331,-112.054775,4,24,Restaurants;Cuban
"""Verde""","""825 N 1st St""",Phoenix,AZ,85004,33.457457,-112.072164,4,54,Mexican;Restaurants
"""Queso Good""","""4501 West Van Buren St""",Phoenix,AZ,85043,33.4507665,-112.1568449,3.5,65,Food Trucks;Restaurants;Mexican;Street Vendors;Food
"""Pizza Hut""","""9053 E Baseline Rd, 105A""",Mesa,AZ,85209,33.3780412,-111.638686,2,12,Pizza;Chicken Wings;Restaurants;Italian
"""Tott's Asian Diner""","""4030 W Ray Rd, Ste 1""",Chandler,AZ,85226,33.3211976,-111.9117114,4,364,Restaurants;Chinese;Asian Fusion
"""Hungry Howie's Pizza""","""2934 N Hayden Rd""",Scottsdale,AZ,85251,33.4808644,-111.9099992,3,71,Pizza;Restaurants
"""Jack in the Box""","""5965 E Main St""",Mesa,AZ,85205,33.4155177,-111.7027393,2.5,8,Fast Food;Restaurants
"""Don Ruben's Mexican Restaurant""","""4323 W Cactus Rd""",Glendale,AZ,85304,33.5958491,-112.1524877,4.5,215,Mexican;Restaurants
"""Village Mini Market""","""1224 N Gilbert Rd""",Mesa,AZ,85203,33.437863,-111.788255,3.5,8,Greek;Restaurants
"""McGurkee's Italian Kitchen""","""2822 N 15th Ave""",Phoenix,AZ,85007,33.4801488,-112.0916666,4.5,149,Restaurants;Italian;Greek;Sandwiches
"""Chipotle Mexican Grill""","""9301 E Shea Blvd, Ste F102""",Scottsdale,AZ,85260,33.58087293,-111.8819211,4,48,Fast Food;Restaurants;Mexican;Tex-Mex
"""Pizza Hut""","""1740 E Broadway, Ste 109""",Tempe,AZ,85282,33.4079719,-111.9104912,3,11,Restaurants;Pizza;Chicken Wings;Italian
"""The Great Indoors""","""16275 N Scottsdale Rd""",Scottsdale,AZ,85254,33.6342085,-111.9253627,3.5,9,Kitchen & Bath;Home Decor;Home & Garden;Cafes;Appliances;Restaurants;Shopping
"""Dijlah Market""","""8048 N 27th Ave""",Phoenix,AZ,85051,33.55483217,-112.1177918,5,3,Food;Herbs & Spices;Specialty Food;Grocery;Restaurants;Mediterranean
"""El Super""","""3130 E Thomas Rd""",Phoenix,AZ,85016,33.481747,-112.0146458,3.5,19,Delis;Ethnic Food;Food;Specialty Food;Imported Food;Shopping;Restaurants;Meat Shops;Grocery;Department Stores;Fashion
"""Antojos Your Way""","""10720 W Indian School Rd, Ste 73""",Phoenix,AZ,85037,33.49415444,-112.2920152,4,11,Fruits & Veggies;Mexican;Food;Cafes;Desserts;Coffee & Tea;Specialty Food;Restaurants
"""La Pita Bar & Grill""","""505 S Mill Ave""",Tempe,AZ,85281,33.4251775,-111.9397665,2.5,5,Greek;Restaurants;Mediterranean
"""McDonald's""","""10823 S 51st St""",Ahwatukee,AZ,85044,33.3485509,-111.9751512,1.5,7,Fast Food;Food;Restaurants;Burgers
"""Hammered Hog BBQ Hall & Saloon""","""3128 E Cactus Rd""",Phoenix,AZ,85032,33.5973316,-112.0140001,3.5,119,Restaurants;Barbeque
"""Thirteenorth Grille""","""1301 E Northern Ave""",Phoenix,AZ,85020,33.5527984,-112.0542597,4,242,Nightlife;Burgers;Restaurants;Bars;American (New)
"""Two Hippies Beach House - Bell Road""","""4001 E Bell Rd, Ste 102""",Phoenix,AZ,85032,33.640408,-111.995167,3.5,11,Hot Dogs;Mexican;Restaurants;Gluten-Free
"""My Big Fat Greek Restaurant""","""4218 N Scottsdale Rd""",Scottsdale,AZ,85250,33.4974247,-111.9262954,3.5,53,Greek;Mediterranean;Restaurants
"""Teriyaki Experience""","""2000 E Rio Salado Pkwy, Ste A-4""",Tempe,AZ,85281,33.4329724,-111.9043028,2.5,10,Japanese;Restaurants
"""Harley's Italian Bistro""","""4221 N 7th Ave""",Phoenix,AZ,85013,33.4974892,-112.0833763,3.5,165,Pizza;Restaurants;Italian
"""Original ChopShop""","""7158 E 5th Ave""",Scottsdale,AZ,85251,33.4985304,-111.9263751,4,705,Food;American (New);Breakfast & Brunch;Restaurants;Cafes;Juice Bars & Smoothies
"""Secreto""","""4232 E Chandler Blvd, Ste 24""",Phoenix,AZ,85048,33.305824,-111.991311,3,110,Local Flavor;Mexican;Restaurants
"""Life Cafe""","""1616 W Ruby Dr""",Tempe,AZ,85284,33.3413263,-111.9644839,3.5,13,Pizza;Cafes;Burgers;Restaurants
"""Hungry Monk""","""1760 W Chandler Blvd, Ste 2""",Chandler,AZ,85224,33.3066391,-111.8728008,3.5,318,Restaurants;Pubs;Nightlife;Barbeque;American (Traditional);Bars
"""Chinatown Restaurant""","""2700 W Baseline Rd""",Tempe,AZ,85283,33.379242,-111.9772353,2.5,17,Restaurants;Chinese
"""In-N-Out Burger""","""1525 N Dysart Rd""",Avondale,AZ,85323,33.4593387,-112.340383,4,136,Fast Food;Burgers;Restaurants
"""Chick-fil-A""","""1466 N Dysart Rd""",Goodyear,AZ,85395,33.462698,-112.3415343,4,65,Event Planning & Services;Restaurants;Fast Food;Caterers
"""Chipotle Mexican Grill""","""4111 East Chandler Blvd""",Phoenix,AZ,85048,33.30480849,-111.993705,4,9,Fast Food;Restaurants;Mexican
"""Brothers Family Restaurant""","""8466 W Peoria Ave, Ste 1""",Peoria,AZ,85345,33.5820122,-112.2414953,4,91,Breakfast & Brunch;Restaurants
"""Pearl Sushi Lounge & Bomber Bar""","""4252 N Drinkwater Blvd, Ste B""",Scottsdale,AZ,85251,33.497292,-111.9223571,3,146,Restaurants;Bars;Nightlife;Sushi Bars
"""Fred's at Barneys New York""","""Scottsdale Fashion Square, 4500 Scottsdale Rd""",Scottsdale,AZ,85251,33.493947,-111.922301,4,25,American (New);Italian;Restaurants
"""Wingstop""","""3155 W Indian School Rd, Ste B""",Phoenix,AZ,85017,33.494482,-112.1273024,3.5,10,Restaurants;Chicken Wings
"""Taqueria El Fundador""","""3245 W Van Buren St""",Phoenix,AZ,85009,33.451137,-112.130043,3.5,57,Event Planning & Services;Restaurants;Mexican;Caterers
"""McCormick & Schmicks Seafood Restaurant""","""2575 E Camelback Rd, Ste 175""",Phoenix,AZ,85016,33.508229,-112.0265212,4,41,Seafood;American (Traditional);Restaurants
"""Beverly on Main""","""7018 E Main St""",Scottsdale,AZ,85251,33.49328,-111.929765,4,146,Bars;American (New);Nightlife;Restaurants;Cocktail Bars
"""Papa Murphy's""","""14692 N Frank Lloyd Wright Blvd, Ste 142""",Scottsdale,AZ,85260,33.6191661,-111.8760361,4,6,Restaurants;Fast Food;Pizza;Italian
"""A1 Pizza & Wings""","""6514 W Bethany Home Rd, Ste 2""",Glendale,AZ,85301,33.5245708,-112.2004125,4,31,Restaurants;Fish & Chips;Chicken Wings;Cheesesteaks;Pizza
"""Revolu Modern Taqueria + Bar""","""15703 N 83rd Ave, Ste 110""",Peoria,AZ,85382,33.627164,-112.236954,4,240,Cocktail Bars;Tacos;Bars;Nightlife;Mexican;Restaurants
"""Times Square""","""13760 W Camelback Rd, Ste 70""",Litchfield Park,AZ,85340,33.5082835,-112.3557356,3.5,68,Italian;Pizza;Restaurants;Sandwiches
"""Yogis Grill""","""3235 W Ray Rd, Ste 5""",Chandler,AZ,85226,33.3196626,-111.8978008,3.5,60,Restaurants;Japanese
"""Bueno Burger""","""6977 N Hayden Rd""",Scottsdale,AZ,85250,33.5379859,-111.9085188,4,68,Burgers;Food;Beer;Wine & Spirits;Restaurants
"""Crackers & Co Cafe""","""535 W Iron Ave, Ste 131""",Mesa,AZ,85210,33.3840839,-111.8436964,4.5,458,American (Traditional);Breakfast & Brunch;Restaurants
"""Rocky Point Cantina""","""1001 E 8th St""",Tempe,AZ,85281,33.4199328,-111.9232096,2.5,6,Music Venues;Bars;Dive Bars;Arts & Entertainment;Nightlife;Mexican;Restaurants
"""Crave Sandwich Cafe & Catering""","""541 E Van Buren St""",Phoenix,AZ,85004,33.450875,-112.066333,3.5,33,Restaurants;Event Planning & Services;Caterers;Sandwiches
"""Dairy Queen""","""6339 N 16th St""",Phoenix,AZ,85016,33.5306354,-112.0472356,3,3,Fast Food;Restaurants
