name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories,category
Chef's Grill and Deli,12020 S Warner Rd,Phoenix,AZ,85044,33.3375219,-111.9945634,4.5,6,restaurants;sandwiches;american (traditional);delis,American
Baja Fresh,"4302 E Ray Rd, Ste 114",Phoenix,AZ,85044,33.320748,-111.991549,3.5,3,mexican;restaurants,Mexican
Chipotle Mexican Grill,"3757 S Gilbert Rd, Ste 110",Gilbert,AZ,85297,33.28181649,-111.7888702,3.0,48,tex-mex;mexican;restaurants;fast food,Mexican
Toss & Take Salads,18555 N 59th Ave,Glendale,AZ,85308,33.65390764,-112.1860256,4.0,14,restaurants;local flavor;vegetarian;salad,American
Culver's,10225 N 28th Dr,Phoenix,AZ,85051,33.5799631,-112.1214539,3.5,97,ice cream & frozen yogurt;food;fast food;burgers;restaurants,American
Southern Spice,1849 N Scottsdale Rd,Tempe,AZ,85281,33.4497753,-111.9264329,3.5,28,buffets;indian;restaurants,Indian
La Paloma Mexican Food,519 W Thomas Rd,Phoenix,AZ,85013,33.4802973,-112.0811235,3.0,17,restaurants;mexican,Mexican
Abacus Inn,3509 W Thunderbird Rd,Phoenix,AZ,85053,33.6092435,-112.1345905,3.5,117,soup;chinese;vegetarian;chicken wings;restaurants,Chinese
La Fontanella Restaurant,4231 E Indian School Rd,Phoenix,AZ,85018,33.4946209,-111.98983,4.0,61,italian;mediterranean;restaurants,Italian
Babbo Italian Eatery,16433 West Bell Rd,Surprise,AZ,85374,33.638481,-112.41271,4.0,329,sandwiches;italian;pizza;restaurants,Italian
Salsita's Mexican Food,1598 E Roosevelt St,Phoenix,AZ,85006,33.4587304,-112.0476272,2.5,3,restaurants;mexican,Mexican
Seoul Jung,"10040 N 43rd Ave, Ste 1K",Glendale,AZ,85302,33.5783014,-112.1523116,3.5,5,restaurants;korean,Korean
Panera Bread,8777 N Scottsdale Rd,Scottsdale,AZ,85253,33.56484523,-111.9255568,2.5,44,salad;restaurants;sandwiches;soup,American
Khaana Khazana,4929 W Chandler Blvd,Chandler,AZ,85226,33.304861,-111.927065,3.5,26,vegetarian;restaurants;indian,Indian
Matta's Restaurant,932 E Main Street,Mesa,AZ,85203,33.4154624,-111.8108016,4.0,8,restaurants;mexican,Mexican
Hal O. Peno's Mexican Cafe,4532 E. Thomas Rd,Phoenix,AZ,85018,33.480601,-111.983452,2.0,3,restaurants;mexican,Mexican
Happy Food,3 W Baseline Rd,Phoenix,AZ,85041,33.3777347,-112.073322,3.0,22,restaurants;chinese,Chinese
En Fuego,5401 N Scottsdale Rd,Scottsdale,AZ,85250,33.5157137,-111.9254057,4.0,15,american (new);restaurants,American
The Bamboo Club,699 S Mill Ave,Tempe,AZ,85281,33.4237298,-111.9396558,3.0,18,asian fusion;restaurants,Asian Fusion
McDonald's,15355 N Northsight Blvd,Scottsdale,AZ,85260,33.623381,-111.893789,2.5,7,burgers;fast food;restaurants,American
Lychee Inn,1138 E Baseline Rd,Tempe,AZ,85283,33.379134,-111.9219593,4.0,22,chinese;restaurants,Chinese
New China Buffet,8146 W Indian School Rd,Phoenix,AZ,85033,33.494353,-112.2348367,2.0,8,buffets;restaurants,American
Fuddruckers,1928 E Highland Ave,Phoenix,AZ,85016,33.5057196,-112.040429,3.5,3,burgers;restaurants,American
Las Cazuelas Mexican & Seafood Restaurant,5150 W Mcdowell Rd,Phoenix,AZ,85035,33.466563,-112.1710514,3.5,36,mexican;seafood;restaurants;tacos,Mexican
Planet Sub,1920 W Germann Rd,Chandler,AZ,85286,33.27677269,-111.8753577,4.0,91,restaurants;delis;sandwiches;salad,American
Lahori's Dhaba,912 N Alma School Rd,Chandler,AZ,85224,33.3195331,-111.8592616,4.0,97,restaurants;pakistani;barbeque;food stands;indian;halal,Indian
Tee Pee Tap Room,602 E Lincoln St,Phoenix,AZ,85004,33.4424735,-112.0658991,3.0,42,nightlife;restaurants;bars;mexican,Mexican
McDonald's,5144 S Rural Rd,Tempe,AZ,85282,33.3786949,-111.9301502,2.0,9,restaurants;burgers;fast food,American
Famous Sam's,720 W Ray Rd,Gilbert,AZ,85233,33.3216606,-111.805269,3.5,26,bars;american (traditional);restaurants;sports bars;nightlife,American
Olive Garden Italian Restaurant,13379 W Grand Ave,Surprise,AZ,85374,33.63809218,-112.3506087,3.5,103,italian;wine bars;restaurants;salad;nightlife;bars,Italian
Subway,9014 W Thomas Rd,Phoenix,AZ,85037,33.4806655,-112.2532239,1.0,8,restaurants;sandwiches;fast food,American
Guedo's Taco Shop,3107 S Gilbert Rd,Gilbert,AZ,85295,33.29323886,-111.7890041,4.0,106,mexican;restaurants,Mexican
Dos Gringos,1361 N Alma School Rd,Chandler,AZ,85224,33.3265887,-111.8582345,3.0,114,bars;mexican;restaurants;nightlife,Mexican
5 & Diner,5220 N 16th St,Phoenix,AZ,85016,33.51345714,-112.0478406,3.5,249,breakfast & brunch;diners;restaurants;burgers,American
Hong Kong Asian Cuisine,"3170 W Carefree Hwy, Ste 1",Phoenix,AZ,85086,33.8002622,-112.1287294,2.5,62,restaurants;chinese;asian fusion,Chinese
ATL Wings,"3554 N Goldwater Blvd, Ste D",Scottsdale,AZ,85251,33.48939468,-111.9281299,5.0,4,restaurants;chicken wings,American
Bread Connection,1076 W Chandler Blvd,Chandler,AZ,85224,33.3061246,-111.8609991,2.0,6,cafes;bakeries;restaurants;food,American
La Vigne,4921 E Ray Rd,Phoenix,AZ,85044,33.3197199,-111.9766885,3.5,5,french;bars;wine bars;restaurants;nightlife,French
Modern Market Eatery,"4821 N Scottsdale Rd, Ste 100",Scottsdale,AZ,85251,33.5065813,-111.9257416,3.5,92,restaurants;sandwiches;salad;breakfast & brunch,American
Subway,"13070 W Rancho Santa Fe Blvd, Ste C3",Avondale,AZ,85392,33.4610624,-112.3397785,2.5,10,restaurants;fast food;sandwiches,American
El Pollo Loco,2410 W Northern Ave,Phoenix,AZ,85021,33.553485,-112.110289,2.5,28,mexican;fast food;restaurants,Mexican
Di Vito's Pizza,5134 E Thomas Rd,Phoenix,AZ,85018,33.48035946,-111.9699933,3.5,69,pizza;restaurants;italian,Italian
Tomaso's,3225 E Camelback Rd,Phoenix,AZ,85018,33.509787,-112.011949,4.0,162,italian;restaurants,Italian
Papa Murphy's Pizza,"2820 S Alma School Rd, Ste 2",Chandler,AZ,85286,33.2641681,-111.8589998,4.0,16,pizza;food;restaurants,Italian
Yogis Grill,"2043 S Ellsworth Rd, Ste 104",Mesa,AZ,85209,33.3774406,-111.6354957,4.0,82,barbeque;japanese;restaurants,Japanese
Tony Pizzeria Italian Restaurant,1546 W Bell Rd,Phoenix,AZ,85023,33.6403359,-112.0936168,3.5,8,restaurants;italian;pizza,Italian
Streets of New York,2805 W Carefree Hwy,Phoenix,AZ,85086,33.7975655,-112.1204498,3.0,57,wine bars;pizza;sandwiches;italian;bars;nightlife;restaurants,Italian
Weft & Warp Art Bar + Kitchen,6114 North Scottsdale Rd,Scottsdale,AZ,85253,33.52711614,-111.9285529,4.0,45,breakfast & brunch;bars;american (new);restaurants;cocktail bars;nightlife;tapas/small plates,American
Cheba Hut,1710 W Southern Ave,Mesa,AZ,85202,33.393227,-111.868642,4.5,283,sandwiches;american (traditional);salad;restaurants,American
Burger King,620 E Carefree Hwy,Phoenix,AZ,85085,33.7998129,-112.0663198,2.0,7,burgers;restaurants;fast food,American
Martha's Kitchen,1155 S Higley Rd,Mesa,AZ,85206,33.3943265,-111.7187796,4.5,73,restaurants;mexican,Mexican
Casa Ramos,1526 E Main St,Mesa,AZ,85203,33.4155827,-111.7985166,4.0,196,nightlife;restaurants;mexican;bars,Mexican
Poki Point - Poke Restaurant,"3306 S Higley Rd, Ste 105",Gilbert,AZ,85297,33.2903939,-111.7228134,4.5,75,hawaiian;food;poke;asian fusion;seafood;restaurants,Hawaiian
Eddie V's Prime Seafood,15323 N Scottsdale Rd,Scottsdale,AZ,85254,33.62554689,-111.9236499,4.0,424,restaurants;arts & entertainment;nightlife;jazz & blues;lounges;bars;steakhouses;seafood,American
Subway,"3300 N Hayden Rd, Ste B",Scottsdale,AZ,85251,33.4857008,-111.9093563,3.0,19,sandwiches;fast food;restaurants,American
Cup O'Karma,"1710 W Southern Ave, Ste B7",Mesa,AZ,85202,33.393794,-111.8683119,4.0,42,american (new);restaurants;coffee & tea;food,American
Church's Chicken,5505 W Glendale Ave,Glendale,AZ,85301,33.5382697,-112.1776252,2.5,8,chicken wings;restaurants,American
PHO KC,"18555 N 59th Ave, Ste 130",Glendale,AZ,85308,33.65246944,-112.185679,4.5,30,restaurants;vietnamese,Vietnamese
On The Border Mexican Grill & Cantina,5005 E Ray Rd,Phoenix,AZ,85044,33.3193489,-111.9758255,3.0,158,tex-mex;mexican;restaurants,Mexican
Underwraps Cafe,1957 W Dunlap Ave,Phoenix,AZ,85021,33.5671067,-112.1027189,3.5,3,restaurants;sandwiches,American
Tottie's Asian Fusion,"7901 E Thomas Rd, Ste 108",Scottsdale,AZ,85251,33.4796324,-111.9108781,4.0,331,asian fusion;restaurants;thai;vietnamese,Vietnamese
The Cove Trattoria,"7001 N Scottsdale Rd, Ste 184",Paradise Valley,AZ,85253,33.5394631,-111.9241619,4.0,169,restaurants;pizza;italian,Italian
Luigi's Pizza,1805 E Elliot Rd,Tempe,AZ,85284,33.3478761,-111.909978,3.5,3,pizza;restaurants,Italian
Jade Fine Chinese Dining,"34455 N 27 Dr, Ste D 160-162",Phoenix,AZ,85085,33.7971416,-112.1180452,3.0,10,restaurants;chinese,Chinese
Zella's Pizza & Cheesesteaks,13240 N 7th St,Phoenix,AZ,85022,33.60680996,-112.0656504,3.0,80,restaurants;cheesesteaks;pizza,Italian
Di Carlo's Original Pizza,13000 W Indian School Rd,Litchfield Park,AZ,85340,33.4946627,-112.338095,4.0,58,restaurants;pizza;food,Italian
Little Caesars,"1118 N Recker Rd, Ste 120",Mesa,AZ,85205,33.43636461,-111.7025263,2.5,9,restaurants;pizza,Italian
Subway,2775 W Thomas Rd,Phoenix,AZ,85017,33.4798105,-112.1188542,3.0,10,restaurants;fast food;sandwiches,American
Bear And The Honey Specialty Bakery,,Phoenix,AZ,85013,33.50082684,-112.0741957,5.0,6,vegan;desserts;restaurants;bakeries;gluten-free;food,American
Boston Market,6665 W Bell Rd,Glendale,AZ,85308,33.6378,-112.201868,3.5,20,barbeque;comfort food;american (traditional);restaurants,American
Taco Bell,1415 West Elliot Road,Tempe,AZ,85284,33.349062,-111.961686,3.0,25,restaurants;mexican;tex-mex;fast food,Mexican
China Garden Restaurant,17201 N 19th Ave,Phoenix,AZ,85023,33.6419655,-112.0996988,3.5,27,buffets;restaurants;chinese,Chinese
Olive Garden Italian Restaurant,7889 W Bell Rd,Peoria,AZ,85382,33.63774182,-112.2279345,3.0,160,salad;bars;nightlife;restaurants;italian;wine bars,Italian
Poblano,3317 N 19th Ave,Phoenix,AZ,85015,33.4862403,-112.0996877,4.0,27,mexican;restaurants,Mexican
Arizona Native Frybread,1437 E Main St,Mesa,AZ,85203,33.414702,-111.800614,4.0,5,restaurants;american (traditional),American
Ahipoki,"3051 S Market St, Ste 101",Gilbert,AZ,85295,33.29703,-111.748117,4.5,14,food;restaurants;hawaiian;poke;seafood,Hawaiian
Village Inn,2510 W Northern Ave,Phoenix,AZ,85051,33.5535098,-112.1135278,4.0,4,diners;restaurants,American
99 Pub and Grill,"965 E Van Buren Ave, Ste 124",Avondale,AZ,85323,33.44948313,-112.3384187,3.5,39,pizza;bars;american (traditional);restaurants;nightlife,American
Memo's Cafe,1845 E Broadway Rd,Tempe,AZ,85282,33.406601,-111.9075196,4.0,22,mexican;american (new);bars;restaurants;nightlife;hookah bars,American
Kitchen 56,3433 N 56th St,Phoenix,AZ,85018,33.48859027,-111.9603502,3.5,316,american (new);restaurants,American
Baci Italian Bistro,8830 E Germann Rd,Mesa,AZ,85212,33.278136,-111.64303,4.0,236,restaurants;italian,Italian
The Notorious PIG,"21001 N Tatum Blvd, Ste 34-1110",Phoenix,AZ,85050,33.678615,-111.9746066,2.5,33,restaurants;barbeque,American
NYPD Pizza,"1949 E Camelback Rd, Ste 144",Phoenix,AZ,85016,33.507455,-112.040131,4.0,236,restaurants;sandwiches;pizza;italian,Italian
Cornish Pasty Company,"1941 W Guadalupe Rd, Ste 101",Mesa,AZ,85202,33.3629395,-111.8752823,4.5,1023,british;restaurants,British
Italia Cafe & Bistro,11127 W Arizona Ave,Youngtown,AZ,85363,33.592687,-112.3000113,4.0,11,cafes;restaurants;italian,Italian
New York Pizza Dept,3800 E Sky Harbor Blvd,Phoenix,AZ,85034,33.43762842,-111.9970336,3.5,64,pizza;restaurants,Italian
Papa John's Pizza,2403 N Pebble Creek Pkwy,Goodyear,AZ,85395,33.4734663,-112.3917743,2.0,10,pizza;restaurants,Italian
Del Taco,1864 S Country Club Dr,Mesa,AZ,85210,33.3808311,-111.8407448,3.0,32,mexican;restaurants,Mexican
Bella Notte Ristorante,10989 E Dynamite Blvd,Scottsdale,AZ,85262,33.7436238,-111.8463003,4.0,14,restaurants;italian,Italian
Palermos Pizza,1579 N Dysart Rd,Avondale,AZ,85323,33.463626,-112.3391458,4.0,38,pizza;chicken wings;restaurants,Italian
El Pacifico Restaurante Y Pescaderia,3311 N 16th St,Phoenix,AZ,85016,33.4862211,-112.047383,3.5,32,seafood;mexican;restaurants,Mexican
Bella Luna Ristorante,"14175 W Indian School Rd, Ste A4",Goodyear,AZ,85395,33.4842775,-112.3643435,3.5,161,restaurants;seafood;italian;diners,Italian
Krispy Kreme Doughnuts,3201 W Indian School,Phoenix,AZ,85017,33.49461084,-112.1277843,2.5,35,restaurants;donuts;food;breakfast & brunch;coffee & tea,American
Italian Spoon,6505 N 7th St,Phoenix,AZ,85014,33.53137,-112.06452,4.0,88,italian;american (traditional);restaurants;fish & chips,American
Ah-So Sushi & Steak,"15475 W McDowell Rd, Ste 105",Goodyear,AZ,85395,33.46285562,-112.3917724,3.0,140,sushi bars;steakhouses;japanese;restaurants,Japanese
Searsucker,6900 E Camelback Rd,Scottsdale,AZ,85251,33.502771,-111.932108,3.5,160,restaurants;american (new),American
Whataburger,2955 N Hayden Rd,Scottsdale,AZ,85251,33.48170651,-111.9084947,3.0,45,burgers;restaurants;american (traditional);fast food,American
Beckett's Table,3717 E Indian School Rd,Phoenix,AZ,85018,33.49479582,-112.001606,4.0,776,restaurants;american (new),American
The Lodge,4422 N 75th St,Scottsdale,AZ,85251,33.5008947,-111.9203705,3.5,213,nightlife;american (traditional);restaurants;bars;lounges,American
Dairy Queen Grill & Chill,3308 Baseline Rd,Phoenix,AZ,85042,33.37856427,-112.0099936,3.0,24,restaurants;fast food,American
Maya New York Pizza & Grill,2107 S Rural Rd,Tempe,AZ,85282,33.4059958,-111.9258616,3.5,37,mediterranean;italian;restaurants;pizza,Italian
Rosati's Pizza,"602 W Union Hills Dr, Ste 1",Phoenix,AZ,85027,33.655105,-112.081705,3.0,65,restaurants;pizza,Italian
Jimbo's Bar & Grill,12224 N 51st Ave,Glendale,AZ,85304,33.5969624,-112.169466,4.0,103,dive bars;american (traditional);sports bars;american (new);restaurants;bars;nightlife,American
Aromas at Island Restaurant,1430 W Warner Rd,Gilbert,AZ,85233,33.3359514,-111.821208,3.5,5,pakistani;indian;restaurants,Indian
King Coffee,"1020 S Mill Ave, Ste A",Tempe,AZ,85281,33.4185276,-111.9402862,4.5,64,sandwiches;food;bakeries;coffee & tea;restaurants,American
Karey's Kitchen,"4041 E Thomas Rd, Ste 124",Phoenix,AZ,85018,33.479852,-111.994039,4.0,46,juice bars & smoothies;food;restaurants;filipino,Filipino
Royal Gyros,8275 W Lake Pleasant Pkwy,Peoria,AZ,85382,33.669826,-112.239255,4.0,5,restaurants;mediterranean,Mediterranean
Majerle's,"13375 W McDowell Rd, Ste 101",Goodyear,AZ,85395,33.463428,-112.3469877,3.5,121,bars;american (traditional);restaurants;nightlife;sports bars,American
Pinata Nueva,3655 West Anthem Way,Anthem,AZ,85086,33.8645716,-112.1392751,2.5,3,restaurants,American
"Uncle Tony's Bagels, Deli & Pizza",3111 N Central Ave,Phoenix,AZ,85012,33.4847321,-112.0733205,4.0,4,bagels;delis;food;pizza;breakfast & brunch;restaurants,Italian
Dave's Electric Brewpub,502 S College,Tempe,AZ,85281,33.4251549,-111.93526,3.0,52,food;bars;breweries;restaurants;nightlife;pubs;american (new),American
La PiÃ±ata,3330 N 19th Ave,Phoenix,AZ,85015,33.4870264,-112.1005589,4.0,134,restaurants;mexican,Mexican
Nonna Urban Eatery,7240 E Main St,Scottsdale,AZ,85251,33.4933556,-111.9249092,4.5,87,italian;tapas/small plates;gastropubs;french;latin american;restaurants;asian fusion,American
Wienerschnitzel,804 South Mcclintock Ave,Tempe,AZ,85281,33.4210209,-111.9096446,3.0,42,sandwiches;fast food;food;hot dogs;ice cream & frozen yogurt;restaurants;desserts,American
Kohinoor Cuisine of India,1043 E Lemon St,Tempe,AZ,85281,33.4167343,-111.9220042,3.5,214,indian;buffets;restaurants,Indian
New York Bagels N Bialys at SkySong,"1455 N Scottsdale Rd, Ste 110",Scottsdale,AZ,85257,33.4648879,-111.9261343,4.0,9,delis;food;sandwiches;breakfast & brunch;bagels;restaurants,American
Chili's,13765 W Bell Rd,Surprise,AZ,85374,33.6380353,-112.3562665,3.0,111,bars;nightlife;tex-mex;american (traditional);restaurants,American
Boathouse,5394 S Lakeshore Dr,Tempe,AZ,85283,33.3742188,-111.9193554,4.5,3,american (traditional);restaurants,American
crunch50,13240 N 7th St,Phoenix,AZ,85022,33.6068351,-112.0656855,4.5,25,food;candy stores;desserts;coffee & tea;breakfast & brunch;restaurants;specialty food;do-it-yourself food;comfort food;ice cream & frozen yogurt,American
Cheeburger Cheeburger,2000 E Rio Salado Pkwy,Tempe,AZ,85281,33.4329724,-111.9043028,3.5,40,burgers;restaurants,American
Mother's Tamales,1940 E Broadway Rd,Mesa,AZ,85204,33.4083701,-111.7890631,4.0,25,breakfast & brunch;desserts;food;soup;restaurants;mexican,Mexican
Del Taco,4252 S 48th St,Phoenix,AZ,85040,33.40769144,-111.9786117,2.5,27,mexican;restaurants;breakfast & brunch;food;desserts,Mexican
Taco Migo,1821 W Baseline Rd,Tempe,AZ,85283,33.3781184,-111.9673621,3.0,15,mexican;restaurants,Mexican
Stella's Kitchen,"Tempe Marketplace, 2000 E Rio Salado Pkwy",Tempe,AZ,85281,33.4366655,-111.9403254,3.0,9,restaurants;american (new),American
Tropical Smoothie Cafe,"2832 N Power Rd, Ste 102",Mesa,AZ,85215,33.46726218,-111.6845548,3.5,24,restaurants;american (traditional);hawaiian,American
Engrained Cafe,1290 S Normal Ave,Tempe,AZ,85287,33.4174937,-111.934289,4.0,35,restaurants;sushi bars;american (new),American
Papa Murphy's,1075 E Riggs Rd,Chandler,AZ,85249,33.21827343,-111.8223185,4.5,11,pizza;restaurants,Italian
The Munchies Cafe,11 E 6th St,Tempe,AZ,85281,33.42416512,-111.9394584,4.0,123,restaurants;mediterranean;greek,Mediterranean
Bacchanal Ristorante,3015 E Thomas Rd,Phoenix,AZ,85016,33.4797994,-112.0166115,4.0,29,greek;restaurants;mediterranean,Mediterranean
Nino's Greek Cafe,3102 N 16th St,Phoenix,AZ,85016,33.48403135,-112.0479991,4.5,143,salad;greek;burgers;mediterranean;restaurants,Mediterranean
YC's Mongolian Grill,"4770 E Ray Rd, Ste 101",Gilbert,AZ,85296,33.3220986,-111.6875461,4.0,103,buffets;chinese;restaurants;mongolian;asian fusion;vegan,Chinese
Arizona Authentic Pizza,1811 N 24th St,Phoenix,AZ,85008,33.4678388,-112.0296326,4.0,16,american (new);restaurants,American
McDonald's,9955 S Priest Dr,Tempe,AZ,85284,33.320405,-111.9627001,2.0,18,fast food;restaurants;burgers,American
Il Vinaio,270 W Main St,Mesa,AZ,85201,33.415521,-111.8389254,3.5,150,restaurants;gluten-free;nightlife;wine bars;american (new);bars,American
Ãberrito,"4912 E Shea Blvd, Ste 108",Phoenix,AZ,85028,33.58361707,-111.9761374,4.0,118,fast food;mexican;american (traditional);restaurants,American
Long Wong's,1455 S Stapley Dr,Mesa,AZ,85204,33.387955,-111.8046789,2.5,52,nightlife;american (new);beer bar;sandwiches;bars;american (traditional);chicken wings;restaurants,American
Denny's,7000 E Mayo Blvd,Phoenix,AZ,85054,33.65568036,-111.9300815,3.0,80,american (new);burgers;restaurants;american (traditional);diners;breakfast & brunch,American
Famous Daves,83rd & Bell Ave,Phoenix,AZ,85308,33.6405825,-112.0015008,3.0,8,food;restaurants;barbeque,American
Taylor Place Cafeteria,"120 E Taylor St, Fl 1",Phoenix,AZ,85004,33.4535069,-112.0722782,2.5,3,buffets;restaurants,American
Bacon,4175 N Goldwater Blvd,Scottsdale,AZ,85251,33.4960516,-111.9303102,3.0,57,restaurants;breakfast & brunch,American
Federico's Mexican Food,5644 S Central Ave,Phoenix,AZ,85040,33.394233,-112.073943,1.0,3,restaurants;mexican,Mexican
Kona 13 Coffee & Tea,1845 E University Dr,Tempe,AZ,85281,33.4215356,-111.9075222,4.5,96,coffee & tea;restaurants;food,American
Cafe 1010,1010 W Washington St,Phoenix,AZ,85007,33.4481931,-112.086027,5.0,5,restaurants;burgers;food;breakfast & brunch;cafes;sandwiches,American
Wingstop,"2700 W Baseline Rd, Ste 103-104",Tempe,AZ,85283,33.37918796,-111.9770676,2.0,12,restaurants;chicken wings,American
Wok Up,"1275 E Baseline Rd, Ste 106",Gilbert,AZ,85233,33.37848249,-111.8064537,3.5,69,restaurants;seafood;asian fusion;chinese,Chinese
Lo-Lo's Chicken & Waffles,1220 S Central Ave,Phoenix,AZ,85003,33.43537179,-112.0739703,4.0,1519,soul food;restaurants;southern;waffles,American
Pizza Re,"2902 N 68th St, Ste 100",Scottsdale,AZ,85251,33.4805337,-111.9349845,3.5,85,restaurants;pizza,Italian
Goldmans Deli,"6929 N Hayden Rd, Ste C2",Scottsdale,AZ,85250,33.53701355,-111.9075956,4.0,130,delis;breakfast & brunch;sandwiches;restaurants,American
Tokyo Express,"914 E Camelback Rd, Ste 5",Phoenix,AZ,85014,33.5095292,-112.0609579,2.5,55,japanese;restaurants,Japanese
Subway,"1940 W Baseline Rd, Ste 2",Mesa,AZ,85202,33.3795296,-111.8769002,1.5,18,restaurants;sandwiches;fast food,American
Rustler's Rooste,8383 S 48th St,Phoenix,AZ,85044,33.37034782,-111.9735762,3.0,780,steakhouses;restaurants,American
Jimmy John's,21001 N Tatum Blvd,Phoenix,AZ,85050,33.6770727,-111.9740351,2.0,43,delis;sandwiches;restaurants;food;food delivery services,American
City Market Deli,1375 N Scottsdale Rd,Scottsdale,AZ,85257,33.46361498,-111.9238132,4.0,9,sandwiches;restaurants;delis,American
Chop & Wok,10425 N Scottsdale Rd,Scottsdale,AZ,85253,33.581421,-111.925694,3.0,232,restaurants;sandwiches;chinese;nightlife;bars,Chinese
Whataburger,2901 E Bell Rd,Phoenix,AZ,85032,33.64026055,-112.0195996,3.5,40,burgers;restaurants;american (traditional);fast food,American
Arlie's Bar & Grill,2155 E University Dr,Tempe,AZ,85281,33.42134685,-111.89306,4.0,18,restaurants;sports bars;bars;nightlife;american (traditional),American
Jack-In-the Box,8030 E Indian School Rd,Scottsdale,AZ,85251,33.4952631,-111.9079693,2.5,25,fast food;restaurants,American
Church's Chicken,817 N Arizona Ave,Chandler,AZ,85225,33.3178463,-111.8410892,2.0,19,fast food;restaurants,American
House of Egg Roll,"961 W Ray Rd, Ste 11",Chandler,AZ,85225,33.32016,-111.85815,3.0,133,chinese;restaurants,Chinese
Long John Silver's,2881 S Market St,Gilbert,AZ,85296,33.2978019,-111.745631,1.5,10,restaurants;fast food;seafood,American
Piza Pizza,48 S San Marcos Pl,Chandler,AZ,85225,33.3029033,-111.8423531,2.0,8,pizza;restaurants,Italian
McDonald's,1213 S Greenfield Rd,Mesa,AZ,85206,33.3934817,-111.7359934,3.5,9,restaurants;burgers;fast food,American
Foodies Haven,"2023 W Guadalupe Rd, Ste 14",Mesa,AZ,85202,33.3626731,-111.8780245,4.0,12,asian fusion;fast food;restaurants;filipino,Asian Fusion
Mr Goodcents Subs & Pastas,528 W Broadway Rd,Tempe,AZ,85282,33.4075797,-111.9471089,3.0,12,sandwiches;restaurants,American
Bobby D's Restaurant & Lounge,10618 N Cave Creek Rd,Phoenix,AZ,85020,33.5830475,-112.0516987,4.5,22,lounges;restaurants;nightlife;diners;bars,American
Denny's,1994 W Baseline Rd,Tempe,AZ,85283,33.37875854,-111.9689735,3.0,54,american (traditional);breakfast & brunch;diners;restaurants,American
The Little Kitchen,"7127 E Main St, Ste B",Mesa,AZ,85207,33.41462573,-111.677297,3.5,21,breakfast & brunch;restaurants,American
The Vault Cafe,6001 N 24th St,Phoenix,AZ,85016,33.5251019,-112.028596,3.5,3,breakfast & brunch;restaurants;food;coffee & tea;sandwiches,American
Forge Pizza,"2502 E Camelback Rd, Ste 148",Phoenix,AZ,85016,33.51076032,-112.026358,4.0,49,american (new);comfort food;pizza;restaurants,American
Original #1 Brothers Pizza,"7440 W Cactus Rd, Ste A-15",Peoria,AZ,85381,33.5974417,-112.2191979,4.5,57,restaurants;pizza,Italian
Seoulphx,11025 N Black Canyon Hwy,Phoenix,AZ,85029,33.5871141,-112.115809,3.0,16,barbeque;korean;restaurants;sushi bars,American
Pieology Pizzeria,"1766 S Greenfield Rd, Ste 103",Mesa,AZ,85206,33.3823524,-111.739776,4.0,51,restaurants;pizza,Italian
Souper Salad,1649 S Stapley Dr,Mesa,AZ,85204,33.3830888,-111.8026577,1.0,4,buffets;restaurants,American
Native Grill & Wings,13929 W Waddell Rd,Surprise,AZ,85379,33.60874533,-112.3598804,2.5,146,bars;nightlife;chicken wings;american (new);restaurants;burgers;sports bars,American
Cowboys Saloon,"5310 E High St, Bldg A3",Phoenix,AZ,85054,33.6765859,-111.9663674,3.0,75,nightlife;restaurants;barbeque;bars;american (new),American
Jade Palace,"1949 W Ray Rd, Ste 235",Chandler,AZ,85224,33.3194292,-111.8744415,2.5,3,chinese;restaurants,Chinese
Potbelly Sandwich Shop,534 W McDowell Rd,Phoenix,AZ,85003,33.466106,-112.081819,4.0,70,soup;restaurants;sandwiches;delis;fast food;salad,American
Natalia's 1912,"3140 S Gilbert Rd, Ste 1",Chandler,AZ,85286,33.2606908,-111.7903737,2.5,47,american (new);food;italian;beer;wine & spirits;restaurants,American
Applebee's Neighborhood Grill & Bar,4712 E Ray Rd,Higley,AZ,85236,33.32216938,-111.6888179,2.5,82,burgers;restaurants;steakhouses;sports bars;bars;american (traditional);nightlife,American
Crab Zone,"3415 W Glendale Ave, Ste 25/A",Phoenix,AZ,85051,33.538068,-112.1329197,2.5,26,restaurants;cajun/creole;health & medical;mexican;pizza;seafood,Mexican
Vintage 95,95 W Boston,Chandler,AZ,85225,33.3020931,-111.8426128,4.0,316,restaurants;wine bars;bars;nightlife;american (new),American
Red Robin Gourmet Burgers,6632 E Superstition Springs Blvd,Mesa,AZ,85206,33.38545077,-111.6880869,3.5,105,restaurants;burgers;american (traditional),American
Tortas Ahogadas George,"9550 West Van Buren St, Ste 17",Tolleson,AZ,85353,33.45119734,-112.2652732,3.5,17,restaurants;mexican,Mexican
The Bourbon Cellar,32409 N Scottsdale Rd,Scottsdale,AZ,85266,33.7800331,-111.9247925,4.0,88,restaurants;seafood;cocktail bars;nightlife;bars;steakhouses,American
Happy Food Restaurant,1853 W Broadway Rd,Mesa,AZ,85202,33.4071605,-111.8716742,3.0,13,restaurants;american (traditional),American
Litchfield Park Library,101 W Wigwam Blvd,Litchfield Park,AZ,85340,33.4929042,-112.3586706,3.5,3,restaurants;libraries;public services & government;pizza,Italian
